Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EF","Fertilizers indicators","5100","Africa","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1996","1996","kg/ha","4.45","Fc","Calculated data"
"EF","Fertilizers indicators","5100","Africa","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1997","1997","kg/ha","4.89","Fc","Calculated data"
"EF","Fertilizers indicators","5100","Africa","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1998","1998","kg/ha","4.65","Fc","Calculated data"
"EF","Fertilizers indicators","5100","Africa","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1999","1999","kg/ha","4.65","Fc","Calculated data"
"EF","Fertilizers indicators","5100","Africa","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2000","2000","kg/ha","4.19","Fc","Calculated data"
"EF","Fertilizers indicators","5100","Africa","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2001","2001","kg/ha","4.37","Fc","Calculated data"
"EF","Fertilizers indicators","5100","Africa","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2002","2002","kg/ha","4.79","Fc","Calculated data"
"EF","Fertilizers indicators","5100","Africa","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2003","2003","kg/ha","4.19","Fc","Calculated data"
"EF","Fertilizers indicators","5100","Africa","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2004","2004","kg/ha","4.1","Fc","Calculated data"
"EF","Fertilizers indicators","5100","Africa","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2005","2005","kg/ha","3.78","Fc","Calculated data"
"EF","Fertilizers indicators","5100","Africa","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2006","2006","kg/ha","4.52","Fc","Calculated data"
"EF","Fertilizers indicators","5100","Africa","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2007","2007","kg/ha","4.21","Fc","Calculated data"
