Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1977","1977","kg/ha","6.66","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1978","1978","kg/ha","6.67","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1979","1979","kg/ha","7.51","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1980","1980","kg/ha","7.13","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1981","1981","kg/ha","7.45","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1982","1982","kg/ha","6.48","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1983","1983","kg/ha","7.24","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1984","1984","kg/ha","6.44","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1985","1985","kg/ha","6.15","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1986","1986","kg/ha","6.51","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1987","1987","kg/ha","7.46","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1988","1988","kg/ha","8.76","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1989","1989","kg/ha","9.18","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1990","1990","kg/ha","8.48","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1991","1991","kg/ha","8.17","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1992","1992","kg/ha","8.98","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1993","1993","kg/ha","10.18","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1994","1994","kg/ha","12.17","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1995","1995","kg/ha","13.54","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1996","1996","kg/ha","10.61","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1997","1997","kg/ha","12.05","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1998","1998","kg/ha","10.74","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1999","1999","kg/ha","9.28","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2000","2000","kg/ha","9.13","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2001","2001","kg/ha","9.87","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2002","2002","kg/ha","8.96","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2003","2003","kg/ha","9.36","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2004","2004","kg/ha","9.92","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2005","2005","kg/ha","8.3","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2006","2006","kg/ha","9.1","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2007","2007","kg/ha","9.66","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2008","2008","kg/ha","8.76","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2009","2009","kg/ha","5.7","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2010","2010","kg/ha","6.4","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2011","2011","kg/ha","5.6","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2012","2012","kg/ha","5.88","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2013","2013","kg/ha","6.63","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2014","2014","kg/ha","7.17","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2015","2015","kg/ha","7.64","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2016","2016","kg/ha","8.41","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2017","2017","kg/ha","8.79","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","2018","2018","kg/ha","9.38","Fc","Calculated data"
"EF","Fertilizers indicators","47","Cook Islands","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2002","2002","kg/ha","3.91","Fc","Calculated data"
"EF","Fertilizers indicators","47","Cook Islands","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2003","2003","kg/ha","4.55","Fc","Calculated data"
"EF","Fertilizers indicators","47","Cook Islands","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2004","2004","kg/ha","3.97","Fc","Calculated data"
